hazard,Aspect,HumanImpactIndexMean,LandCover,NDMI,NDVI,Precipitation,Slope,SoilMoist,TempMax,TempMin,WaterDeficit,WindSpeed,idx
1,217.15431,128.9,16,-0.024943661,0.15230404,3.5,3.0518503,117.8571429,133,5.5,851,371,3
1,62.905323,310.2,7,-0.13556254,0.2607,2,4.129219,32.5,204,96.5,823,305.5,4
1,295.7637,811.85,5,0.122219406,0.4220308,57.5,15.4821825,709,154.5,22.5,133,400,0
1,61.43058,286.4,10,0.17976977,0.29635438,49.5,17.77146,595.5,119.5,-3.5,119.5,556.25,1
1,46.25452,920.1,5,0.10507624,0.45908973,55.5,10.81033,635.5,157,24,154.625,390,2
1,244.95786,1105.7,10,0.32333717,0.5570819,53.5,10.229507,682.5,156,24,145.5,390.1666667,3
1,102.2112,465.95,10,0.033534158,0.4091223,56.5,6.4135056,745.3333333,157,26,121,380,4
1,235.04488,684.55,9,0.20139745,0.5898043,33.16666667,0.7082076,1184.5,338.5,224,566.25,215.75,0
1,233.16692,1224.55,17,0.21747944,0.593273,31.83333333,0.14504445,1416,338,225,594,224.5,1
1,0,1180.35,9,0.13199201,0.57388276,101.1666667,0,457.5,281,174,53,279,0
1,0,744.75,9,0.12411675,0.48958093,106.8333333,0.028984088,340.5,284,170.5,36.8,288,1
1,245.98685,758,9,0.25012106,0.6321638,118.5,0.07122333,653,276,172,0.024691358,280,2
1,344.31033,1609.2,9,0.13231555,0.56956327,120.6666667,0.24084513,619.5,274.5,170.5,0,280,3
1,228.05418,163.85,9,0.15918349,0.5271506,92.25,0.0433616,205,281,175,120.1666667,290,4
1,101.281456,408,2,0.37642974,0.5654309,186.5,0.1481583,604,317,222.5,0,122,0
1,243.45903,330.1,2,0.35520437,0.40416086,244,0.0648649,357,314,223.5,0,130,0
1,20.575853,459.65,2,0.37289134,0.27410498,242.75,0.24767077,350,314,224,0,130,1
1,153.41354,127.45,2,0.19316477,0.577284,249.25,0.06482248,291,313,223,0,130,2
1,0,455.95,2,0.32272497,0.12836133,244,0.11593621,357,314,223.5,0,130,3
1,183.28725,1618,10,0.029658698,0.4046445,61.5,0.6386745,160,186,68.5,151.5,370,0
1,293.43835,560.15,10,0.12284183,0.5132017,66.5,1.8210831,155,194.5,70,104.25,354,1
1,213.4905,907.15,10,0.054271404,0.4199689,61,1.4593543,154,184.5,66.5,152.5,370.1666667,2
1,31.891212,594.5,10,0.13061343,0.5209917,68,0.06827392,142.5,213,87,121.5,330,3
1,311.8282,1305.1,10,0.1595674,0.5559612,69.5,1.5642068,190,189.5,68,86.5,360.125,4
1,107.81692,100.15,2,0.33208168,0.6957683,132.5,1.7992128,2696.083333,311.5,219,0,156.5,0
1,148.31497,13.7,2,0.35455507,0.68150085,189,0.44278327,2550.9375,312,216,0.030927835,141.5,1
1,3.6589854,118.05,2,0.32070267,0.6727447,126.6666667,1.3647767,2742.333333,310,218.5,0,158.5,2
1,169.09946,81.95,2,0.3712709,0.67859775,113,0.76738733,3084,305,216,0,163.5,3
1,30.63117,41.7,2,0.38985956,0.7056072,133.5,0.74101156,2654.75,307,213,0.070588235,157,4
1,86.18646,507.8,2,0.020803254,0.39937803,203.9166667,0.4357795,3597,311,234,0,170,0
1,236.31396,109.1,2,0.04946394,0.4398185,208.5,0.10451454,3636.916667,310,232,0.01010101,168,1
1,0,220.9,2,0.30954388,0.65122813,183.6666667,0,3600,314,223,0.029126214,187.5,2
1,99.4619,108.05,9,-0.012492487,0.38365048,179.25,0.1763106,3737.5,311,237,0,180,3
1,180,244.5,9,-0.016931163,0.33162427,181.5,0.14492016,3863,311.5,237,0,180,4
1,52.51426,218.2,9,-0.045996167,0.40558812,23.25,0.4762593,232,322,214,835.5,184.5,0
1,216.99925,420.6,10,2.40E-04,0.44419342,26.25,0.87093276,183.8333333,322.5,229,985,215,1
1,41.287,211.2,9,-0.107570656,0.3202779,29.2,0.30857894,877.75,326.5,210.5,669,160,2
1,131.0315,376.75,9,0.10706688,0.51295465,37.75,8.933729,2750.5,310,196.5,395,158,3
1,249.50513,279.65,9,0.00118394,0.44150496,28.33333333,0.24834578,926,318.5,203.5,649.375,160.5,4
1,46.338722,104.5,9,0.30889162,0.70224345,64,0.96549416,2712,317,200.5,278,156.5,0
1,17.667414,88.35,9,0.26704082,0.64609957,85,1.9156715,3663.333333,323,211,184.75,166,1
1,212.09079,688.5,9,0.17532389,0.54920447,74.66666667,1.915121,4153,324,213,245.5,152,2
1,55.21739,386.4,9,0.12324834,0.49250314,57.5,1.5238775,933.5,324,205.5,336.3333333,143,3
1,75.00744,80.55,8,0.16194461,0.61378044,60,0.7842326,377,322,207.5,368.75,130,4
1,134.90613,568.6,10,0.18148881,0.084964804,29.5,0.04105701,53.4,347,232,1076,166,0
1,134.8636,720.3,10,0.037321012,0.30881423,103.25,0.041087624,513,341.5,220,206.5,168.5,1
1,283.95462,715.9,9,0.096132666,0.4616598,122,0.12018927,1041.75,331.5,203,111.5,180,2
1,107.556816,687.95,9,0.08292012,0.44084302,108.2222222,4.028905,1265,339,212,164.5,172.5,3
1,229.47133,712.35,10,-5.88E-04,0.21073222,13,0.5352165,14.46666667,322,197,1223,177,4
1,30.210173,248.1,8,0.07446322,0.4468454,65,2.982293,1423,256.5,139,293,217.5,0
1,49.15928,298.45,9,0.08849849,0.42095003,98.5,0.31024396,834.5,290,170.5,103.5,188.5,1
1,20.193819,573.2,9,0.09705869,0.42691952,72.25,0.33970273,861,291.5,176.5,254.5,190,2
1,136.36523,889.9,8,0.044036545,0.40647453,55.5,0.64072406,2217.5,278.5,157.5,330.5,210,3
1,189.42621,524.95,8,0.11434782,0.46196187,63,1.7916452,1213,312,191,417,185.5,4
1,121.645706,30.3,16,-0.036316436,0.10485197,0.312977099,0.11048592,0,349,185.5,2163.5,340.1666667,0
1,180,39.75,16,0.003559955,0.08865575,0.312977099,0.028984088,0,349,185.5,2163.5,340.1666667,1
1,28.404045,30.25,16,-0.007443895,0.09509244,0.312977099,0.06590174,0,349,185.5,2163.5,340.1666667,2
1,57.69864,854.25,16,-0.0459613,0.14199841,0,0.10847886,0,387.5,240.5,2286.5,352,0
1,226.5586,734.3,16,-0.082093716,0.13927598,0,0.04215178,0,390,240.5,2314.666667,350.3076923,1
1,0,590.35,16,-0.05976432,0.14035767,0,0.028984088,0,390,240.5,2314.666667,350.3076923,2
1,133.47284,1178.95,16,-0.11124004,0.115894936,0,0.21063599,0,387.5,239,2260.5,350.1666667,3
1,57.705364,831.25,16,-0.06398557,0.12978622,0,0.21699724,0,387.5,239,2260.5,350.1666667,4
1,53.215065,2191.2,17,0.2892554,0.5527291,159,0.1452074,2381,297,229,0,196.5,0
1,112.555565,1678.2,17,0.24999368,0.57178545,148.25,0.3778055,2410.5,300,231,0,203,1
1,94.38571,1928.05,17,0.25051576,0.53493524,176.25,0.37901813,2206,294,224,0,220,2
1,165.92253,1522.3,17,0.3153255,0.5654632,158.0833333,0.23905063,2361,295.5,228,0.032608696,202.5,3
1,150.18236,1885.5,17,0.20190816,0.5317037,176.25,0.46768382,2206,294,224,0,220,4
1,337.37808,421.45,16,-0.077180944,0.13037829,0,0.47098795,0,364.5,218.5,2019.333333,329.3333333,0
1,264.96902,630.75,16,-0.094725005,0.17343687,0.034482759,0.3305085,7,349,189.5,1639.5,270.1111111,1
1,0,832.9,10,-0.08598597,0.19551373,0.056179775,0.63762367,8,344.5,193,1660.75,290.1,2
1,140.93477,923.9,10,-0.08131987,0.19424513,0.034883721,0.5226055,9,342,192.5,1653.666667,286.6666667,3
